1,1
1,1
1,1
1,1
2,2
1,1
2,2
2,2
1,1
2,2
2,2
2,2
3,3
3,3
3,3
4,4
2,2
2,2
2,2
5,5
2,2
2,2
5,5
2,2
6,6
7,7
7,7
7,7
7,7
7,7
8,8
7,7
9,9
8,8
8,10
8,8
8,8
10,11
8,8
11,12
10,11
8,8
8,8
8,8
8,8
12,13
13,14
14,15
14,15
8,15
14,15
14,15
14,15
15,16
16,17
15,16
14,15
14,15
14,15
8,18
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
17,19
18,20
14,15
14,15
14,15
14,15
18,20
18,20
14,15
14,15
18,20
18,20
18,20
18,20
18,20
14,15
14,15
14,15
14,15
14,15
18,20
19,21
18,20
18,20
18,20
19,21
19,21
14,15
18,20
19,21
14,15
19,21
19,21
18,20
20,22
14,15
14,15
14,15
21,23
14,15
14,15
22,24
14,15
14,15
14,15
14,15
14,15
14,15
23,25
14,15
23,25
14,15
14,15
14,15
14,15
14,15
14,15
14,15
24,26
14,15
14,15
25,27
14,15
14,15
14,15
26,28
14,15
26,28
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
27,29
14,15
28,30
28,30
27,29
28,30
27,29
28,30
27,29
28,30
27,29
28,30
28,30
27,29
28,30
28,30
28,30
28,30
28,30
27,29
27,29
27,29
27,29
28,30
28,30
28,30
28,30
27,29
28,30
28,30
28,30
27,29
28,30
28,30
28,30
28,30
27,29
28,29
27,29
29,31
30,32
31,33
31,33
29,31
30,32
29,31
29,34
29,31
29,34
32,34
29,31
30,34
30,34
30,34
30,34
33,35
30,34
33,35
33,35
33,35
33,35
33,35
34,36
33,35
30,34
34,36
33,35
33,35
33,35
34,36
33,35
33,35
34,36
33,35
30,34
34,36
33,35
34,36
35,37
33,35
35,37
30,34
30,34
35,37
35,37
34,36
33,35
33,35
30,34
35,37
35,37
30,34
35,37
35,37
35,37
34,36
30,34
33,35
35,37
35,37
35,37
33,35
33,35
33,35
34,36
33,35
35,37
34,36
34,36
34,36
36,38
33,35
33,35
35,37
33,35
33,35
33,35
33,35
35,37
34,36
33,35
37,39
33,35
37,39
34,36
37,39
37,39
37,39
33,35
37,39
37,39
37,39
37,39
37,39
34,36
37,39
37,39
37,39
37,39
37,39
37,39
37,39
37,39
37,39
37,39
37,39
37,39
38,40
37,39
37,39
39,41
37,39
37,39
37,39
39,41
37,39
40,42
37,39
37,43
37,43
39,41
39,41
41,39
39,41
37,39
37,39
40,42
41,40
39,41
40,42
37,39
37,39
37,39
37,39
39,41
37,39
37,39
39,41
39,41
42,44
42,44
41,40
37,39
37,39
39,41
37,39
41,40
42,44
41,40
37,39
41,40
37,39
37,39
43,45
37,39
41,40
43,45
43,45
37,39
41,40
41,40
41,40
43,46
44,46
41,40
44,46
41,40
44,46
41,40
45,47
44,46
37,39
41,40
41,40
44,46
46,48
